 ,pH,BOD5,SS,VSS,TS,VTS,TKN,NH3-N,NO2-N + NO3-N,P-TOT,P-SOL,Flow,,,,,,,,,,
29-Jun-16,7.5,112,236,202,930,338,29,18.3,     <0.15,6.86,4.12,144,,,,,,,,,,
30-Jun-16,7.3,157,316,260,1062,432,36,18.8,     <0.15,8.62,4.78,139,,,,,,,,,,
1-Jul-16,7.4,      T/X,162,132,888,290,27,18.0,     <0.15,5.85,3.72,138,,,,,,,,,,
2-Jul-16,7.4,      T/X,157,140,890,308,30,17.7,     <0.15,5.99,3.56,138,,,,,,,,,,
3-Jul-16,7.4,174,124,108,800,258,27,17.2,     <0.15,4.62,2.76,138,,,,,,,,,,
4-Jul-16,7.6,185,204,172,860,308,30,16.5,     <0.15,5.54,2.77,135,,,,,,,,,,
5-Jul-16,7.4,147,148,120,788,244,30,17.8,     <0.15,6.65,4.31,137,,,,,,,,,,
6-Jul-16,7.2,182,360,220,762,304,22,7.7,0.15,6.04,2.44,343,,,,,,,,,,
7-Jul-16,7.4,81,88,66,746,216,17,10.5,     <0.15,4.36,2.83,259,,,,,,,,,,
8-Jul-16,7.4,134,88,74,800,218,18,11.2,     <0.15,5.19,3.57,258,,,,,,,,,,
9-Jul-16,7.3,106,66,50,696,188,16,10.0,     <0.15,4.32,2.84,186,,,,,,,,,,
10-Jul-16,7.4,139,166,136,794,246,23,13.0,     <0.15,4.17,2.01,161,,,,,,,,,,
11-Jul-16,7.6,143,166,136,776,250,23,16.2,     <0.15,4.70,3.10,143,,,,,,,,,,
12-Jul-16,7.4,139,142,112,822,272,25,16.4,     <0.15,4.81,3.21,156,,,,,,,,,,
13-Jul-16,7.3,227,284,200,940,302,30,14.7,     <0.15,8.05,4.70,272,,,,,,,,,,
14-Jul-16,7.6,      T/X,122,88,674,192,15,8.9,     <0.15,4.61,2.85,301,,,,,,,,,,
15-Jul-16,7.5,      T/X,84,32,716,188,17,10.0,     <0.15,3.72,2.20,259,,,,,,,,,,
16-Jul-16,7.4,92,100,80,732,226,17,10.8,     <0.15,2.90,1.52,220,,,,,,,,,,
17-Jul-16,7.4,125,218,146,838,278,24,15.5,     <0.15,4.83,2.72,187,,,,,,,,,,
18-Jul-16,7.5,115,228,132,684,244,16,7.6,0.53,3.83,1.42,391,,,,,,,,,,
19-Jul-16,7.4,90,78,62,682,196,15,8.7,     <0.15,3.51,1.95,288,,,,,,,,,,
20-Jul-16,7.3,92,70,52,664,190,16,9.8,     <0.15,3.86,2.51,267,,,,,,,,,,
21-Jul-16,7.5,114,80,56,612,160,16,10.2,     <0.15,2.83,1.46,266,,,,,,,,,,
22-Jul-16,7.4,76,78,44,516,144,12,6.9,     <0.15,2.62,1.30,353,,,,,,,,,,
23-Jul-16,7.5,      T/X,104,72,646,166,14,9.4,     <0.15,2.63,1.35,279,,,,,,,,,,
24-Jul-16,7.6,56,164,88,546,146,10,4.7,1.35,3.52,0.86,434,,,,,,,,,,
25-Jul-16,7.4,110,776,260,1296,378,21,5.8,0.90,7.91,1.08,401,,,,,,,,,,
26-Jul-16,7.5,76,72,58,726,178,13,8.0,     <0.15,3.48,2.02,283,,,,,,,,,,
27-Jul-16,7.2,370,312,216,990,430,19,8.2,     <0.15,3.68,1.43,275,,,,,,,,,,
28-Jul-16,7.4,72,92,48,686,204,15,7.7,     <0.15,4.22,1.76,357,,,,,,,,,,
29-Jul-16,7.6,      T/X,200,126,718,216,12,7.3,     <0.15,3.85,1.68,360,,,,,,,,,,
